chemical_composition,casting_temp,cooling_water_temp,casting_speed,entry_temp,emulsion_temp,emulsion_pressure,emulsion_concentration,rod_quench_pressure,UTS,elongation,conductivity,rod_quality
1.0047152743,668.4634531305,32.5814763271,1.2020296721,497.6712356603,70.397585681,1.6795524535,8.657476926,3.0996167281,132.1281967577,11.0759616983,46.053098919,1.0
1.0137135666,672.5115212428,22.8717379839,2.1668415074,412.5192766634,69.753636535,1.594975019,6.5939192824,2.5955301001,134.1640932315,10.9164832144,46.4740772169,1.0
1.0648278425,679.0627197756,58.3654749233,1.5163028749,449.3593156491,38.2037635853,0.9609185157,3.4982274426,2.2010338807,132.465289057,10.7352887872,47.3119167903,-1.0
0.9846512656,685.1611622145,49.7241970364,1.2869522728,410.5803591278,53.6286851643,1.3632529438,5.4115520549,5.3171375252,132.0076824727,10.7230294716,46.296257884,1.0
1.0978704341,694.7648283133,58.7179484441,1.5298008217,495.1009243567,46.5706389537,0.6543293032,7.1387162762,4.6575269682,133.6786178532,10.2594817292,45.2848841125,1.0
1.0155220584,733.7839339578,21.7782560932,2.7387914892,474.8383321092,21.4381551519,0.5900566166,4.4123606338,4.4411816274,137.9168969642,9.8658767699,45.4999047942,-1.0
1.0345084863,690.6623970729,52.0109975255,2.5403923109,498.1920039278,72.988352531,0.6047278121,8.1204180697,4.1179780207,133.5885749485,10.4619935675,45.9316378341,1.0
1.0572501016,669.7693607966,46.1654755396,1.733077204,439.7346778105,37.5881423348,1.0546026595,4.1639701741,4.1293334758,130.3826447886,10.7360356316,46.5166729854,1.0
0.9317805542,689.2972007174,47.4465254086,2.6596012552,480.0622858055,56.4878553171,1.6012043332,5.0134384407,3.4940978132,133.395053124,10.5718940627,45.6455837668,1.0
0.9445581268,667.2035569509,53.4593506721,1.7470264478,413.7883159145,50.2536843215,1.5800617253,6.3681661422,2.4808044513,134.1935435479,10.2860032252,47.1875099416,-1.0
1.0944628534,683.3466593183,34.8483183379,1.3504112657,473.5761971888,66.5446977866,1.3395035291,8.4206168684,5.1330685265,133.1235624398,10.6443896897,45.5611960333,1.0
1.0384293733,749.5866238449,24.4554871399,2.7075208582,453.5630712345,76.4660053052,0.7507664724,8.9691766106,5.5219329291,137.744176002,10.6026147837,44.442707976,-1.0
0.9685614189,676.9814356497,39.5742513142,1.9938217221,407.7681588521,29.6299493409,1.3304623556,8.0031623177,4.0018501818,133.3035281113,11.8706158908,46.4117357354,-1.0
1.0032174604,713.6148421637,58.0857977945,1.3919298295,470.013514172,45.8991869885,1.5734170035,5.6240376545,4.9950297578,134.3699870229,11.2503626331,45.388314971,1.0
0.9601505051,693.6602982388,47.2927359574,2.7665121934,478.1353886384,76.5412812132,1.5467128868,3.3008326627,3.8570016263,136.7583491777,10.0486371295,46.1820540486,1.0
0.9179825511,705.4537418429,24.1950678043,2.9997261811,490.1667615915,26.1948898651,1.9923341192,9.0539059988,5.6299449359,135.9117588307,10.3067497312,45.9530772848,1.0
0.9035841756,701.0773395789,58.6155304738,2.941542714,450.474586378,21.7933161442,1.8850421075,6.4838440358,2.0405351915,134.9959370951,11.1805815909,46.8516334454,1.0
1.0493614175,720.9262273642,53.7433755743,2.0645247313,419.7658943143,23.8085644929,0.6180659534,9.1807265079,3.7340395931,134.938941459,11.2967731468,44.7858339788,-1.0
0.9961618459,710.8224612938,20.2609965563,1.2016966654,490.7340730459,68.4829067091,1.7122017619,7.0361099764,3.8657289648,133.9985995491,10.3723681353,45.5108235054,1.0
1.0871250789,713.836742475,41.1505477963,1.9140353787,403.0188959954,50.0058762157,1.7234573138,4.0425329712,4.7398863728,133.9386523701,10.9437088028,44.9342274049,-1.0
0.92163369,725.1861732167,35.2241038824,2.2199501124,475.9093819395,44.754626201,1.4672285311,6.7601971732,4.1239674152,135.179341067,10.4055425333,45.2620317884,1.0
1.0409201596,711.6911291824,53.1417573056,1.526593531,469.9591233388,35.2221515952,0.9867920476,8.3504782508,4.8107341609,135.298939312,10.8093250935,46.4621075478,1.0
1.0871443848,712.9235163165,35.9320228132,2.2687003674,460.3286341005,29.3803805584,0.5607207466,5.7986244971,4.3363349619,133.0913316357,10.5040071151,46.4723118295,1.0
1.05798942,650.4447312261,56.4994455968,2.4903377978,457.7813778716,30.0202522034,0.7784500704,9.0285296792,4.945149869,132.6655029286,12.0515071611,47.5763741415,-1.0
1.0166753352,703.805774251,31.4857191085,1.1023090162,417.3385867457,65.3742944223,1.8253763421,3.454254129,2.8313549859,135.4017451486,10.6074956089,45.7020644997,1.0
0.9584103824,679.1311320103,50.8555024142,2.5693362117,480.0736050979,42.3034764692,0.7285887958,7.0150428994,4.2002635195,132.0883970645,11.0343063906,45.813857644,1.0
1.009076445,668.3662522646,44.8762926538,1.926575035,400.5624797178,71.0956888794,1.6347575894,5.4168317339,5.3296374693,133.7576843863,10.2711608113,46.412388724,1.0
1.0081268286,724.6173898253,54.2942881421,1.1214694453,401.1191216111,73.4771531027,1.4806879811,4.8372781678,3.5027421569,136.5517517034,10.6164280899,46.1059810452,1.0
0.9206639794,652.4201802943,36.1580264409,2.1135416547,438.0835579363,77.1153652419,1.320709198,8.0760732414,2.3373454648,131.0482446604,11.0695666876,47.4785784923,-1.0
0.9746770398,665.5340378629,23.4106326553,2.0514445004,400.1276902532,37.3831634677,1.4928659406,8.0646901077,2.5356645825,133.1070035675,10.3216107818,46.3165930915,1.0
1.0467107498,676.103641598,54.0152903195,1.3742346046,481.9012288025,28.9186084612,1.3502142885,7.0722560571,4.270391827,132.8989153148,11.5355064302,46.4834295763,-1.0
1.096992005,674.5163714531,50.7562263945,2.2231770473,408.7225767142,27.0506839942,0.9387731332,9.1718444422,5.3081776468,133.7811952692,11.4964994699,45.9894785461,1.0
1.0734093668,724.5012655779,47.2802260242,2.7452171698,489.6700971473,40.0312082052,0.5385524698,6.4666317609,4.7021455562,135.5938740642,9.8070337892,45.840049752,-1.0
1.0045074036,658.2599773975,58.9381360471,2.4752606559,487.5960609897,53.7576671095,1.169007153,7.2261685737,3.5028978366,133.650928605,11.1851562808,46.345037679,1.0
1.0927361325,665.4002957424,21.626877288,1.4700886223,437.3841177888,43.8102548474,1.2132320829,4.8777836197,4.2007880815,133.5207443405,9.8787824708,47.1084526342,-1.0
1.0324260108,723.7649921345,34.8326766867,2.9248032017,451.6220164596,60.0443985655,0.6819151595,5.8689764386,4.5784974176,137.2980462069,9.5964963131,45.3654064129,-1.0
0.9231046297,700.8471015589,57.926181768,2.463314039,472.1081754697,28.6901582912,0.9120388168,8.225194106,5.2518634981,132.6733659901,11.6835609787,45.6257357333,-1.0
1.0991087296,704.9937984022,34.7028610841,2.8376364567,439.2378124628,38.2840354134,1.0474070738,7.8431448018,2.1851919871,136.3177962116,10.9032925686,47.2125658605,-1.0
0.949436274,670.8205736904,43.2666763924,1.9480903313,484.6991968682,27.0386334769,0.6673289737,7.336012375,2.4836531604,134.2040167094,10.1905402816,45.7267540653,1.0
0.9804838162,697.6009871124,21.5104945451,2.3585245133,468.8961483021,60.1989807325,1.2350081754,7.0517378889,3.6205362204,135.0068461658,10.8380453948,47.0401329888,-1.0
1.0932914148,700.5072581819,51.6935248333,1.9727058578,451.5505034829,49.5723665232,1.484287024,5.0646133302,2.0085223237,133.5093620895,10.6809479254,46.4190325244,1.0
0.9295122596,737.3632498426,20.8858557888,2.5080870345,458.8388467188,53.275789502,1.6167537606,5.7194314256,2.3701031792,138.3618199089,10.7807547852,45.454097915,-1.0
1.0904672421,716.3240843265,53.9660404314,2.4117396922,426.0357089901,58.7374274915,1.9946454247,6.9786791155,3.6832946756,134.9713186795,10.9029926122,45.0292935568,1.0
1.029497121,667.1085076445,39.1491916494,2.6109277124,442.0776696559,69.2754829513,1.9931824108,3.3339301869,3.1638465162,130.2558430498,10.7063716435,46.5369311665,1.0
1.0446390164,665.2988889721,52.6196412656,2.7264150944,496.2026410381,77.1490713658,1.0819731657,9.331154512,4.2340241493,133.5119378384,10.6420117158,46.9592574036,1.0
0.915650699,744.1531852971,48.9952738585,2.6189105442,429.7797339566,51.2131322994,0.9535538491,8.5963450254,3.7748493901,136.6200300396,11.0966250477,44.5723244761,-1.0
0.9415013685,685.0555520755,55.3646840554,1.3069164765,415.1792884746,33.717719977,1.0432850144,7.7664817969,5.8136442977,132.9631443468,9.9073350052,46.5199054889,-1.0
1.0537470837,650.5832254782,56.9518110253,1.6101297633,459.9876843603,37.8896188594,1.603815636,4.9670724151,4.2893156213,131.2093629224,10.8412000262,47.2681589373,-1.0
1.0284324528,664.9320038676,20.0179529946,2.4881437835,473.4670495633,41.3099918704,0.7808438038,3.7365422317,3.4823103055,132.821522511,10.2695116544,47.5318406168,-1.0
1.0591388629,689.9105356938,42.4531707596,2.4361457599,468.9275437774,57.0868570841,0.6847805099,4.115251474,2.4424864714,133.2645534168,11.421774367,46.3485078004,1.0
0.9392940659,725.2660453126,24.5344108469,2.4130279495,473.98565088,28.535313995,1.8384002708,7.3290874347,2.7970844193,135.5643056115,9.9964834247,44.8949861088,-1.0
0.9574398868,683.5288797286,31.8361297411,2.2713437303,487.4032846561,34.5620353525,0.9731237003,5.7253297177,3.6008920894,133.576009671,10.697546725,46.5711202717,1.0
0.9220255051,652.2313104621,28.739953457,1.4856132477,439.2149158613,42.9316796139,1.0727146492,7.6098578539,3.880994196,132.3614654613,10.2396927722,46.9145090492,1.0
0.9959699812,729.683157849,51.8017677853,2.6790519607,411.2718452585,28.391453193,0.897628719,5.3549057758,2.2701091246,133.546721872,11.581357522,45.1019633551,-1.0
1.0344094341,680.4770351647,30.0867014075,2.978290317,413.6977815435,44.4889505273,0.5676942212,3.6021232509,4.536514079,132.6430617854,9.5809567573,46.2118802632,-1.0
0.9009846788,687.483059728,58.3803296716,2.2899257727,490.1488135444,49.0684258999,0.7328327211,8.0885494687,5.1860652738,132.0284169107,10.7041467349,45.3483395912,1.0
0.961291199,707.1639994438,43.177856562,2.8615623333,427.1609369686,62.5548229729,1.7905616927,9.4490267582,5.5995896479,136.1541743522,10.4445576334,44.4374299656,-1.0
0.9743343684,703.0942846714,43.2095745135,1.429049125,420.3835930362,79.3275611326,1.4703226944,7.3694215684,4.518818697,135.0072899419,10.7464875725,46.68724289,1.0
0.9031321984,739.8073507462,25.3022567778,1.3286874434,433.5135383878,56.1409557864,0.7574821922,7.5893655035,2.3273145102,138.0190785245,10.3373468476,46.0723035604,-1.0
1.0017095211,677.5838006951,25.1589209272,1.5638028028,456.8380842378,26.0582395255,1.6740626404,6.3613329206,3.1262052118,132.5466074963,10.5321335753,45.3234426781,1.0
0.9341883701,734.0354892855,55.6661687145,2.6366388829,430.6803102956,67.282611372,0.9755268556,5.8241407803,5.0819923674,136.8452006916,10.6690517191,45.8406033081,1.0
0.9908686871,677.222349844,24.0010504669,2.9913254933,453.8476733613,55.8431452533,1.9544180097,7.0779834896,2.9975901921,133.6023667422,10.982981226,47.5729253881,-1.0
1.0574155973,691.9936366201,57.1323402708,1.2764783663,434.9215903444,40.6364992792,1.8164007741,5.3013412427,4.7005329511,134.1332042016,10.5782868365,46.1764328956,1.0
1.005898807,706.4075129892,49.9829381524,2.9719489215,423.0144717931,24.2696045423,0.5279384153,8.2035607923,4.9159344378,132.2834227747,11.5904868202,46.0005830267,-1.0
1.0011506964,681.7836203811,59.7699711379,1.5497099195,418.9390009309,58.2148419035,0.9525198646,6.574323818,3.1123146731,132.9004142935,11.8122596101,45.9658802465,-1.0
0.9953683215,711.6513198533,39.6890941069,1.3274891418,459.9806968513,75.6879535654,0.7838196638,5.8489800837,2.5204002293,134.7919696691,10.1524149266,46.1868432559,1.0
0.9487144517,698.8627376566,22.7608020055,1.1385084641,401.071112816,70.3991512625,0.7454112403,5.6311201825,2.6003347722,133.7245943148,11.2438871734,46.0812061604,1.0
1.0802347451,744.7056151126,33.0709798281,1.2523842888,470.9833125827,53.6882294695,0.5073866151,3.5845060817,2.8634860811,136.4900721759,11.0952109502,45.8703962851,1.0
0.9409053555,691.6670671655,48.2333954412,1.4635557185,470.2698259414,31.2949089556,1.6037769698,8.437950968,3.106370548,132.4156059107,10.7380283539,46.1708341298,1.0
0.9119205038,739.6003750615,48.6802858605,2.6314685803,459.6406846884,37.3433030246,1.6112305214,7.6095285636,2.5434772903,135.2103418898,10.3816589219,45.2820996809,1.0
1.0504260863,656.8045258588,38.028355212,2.2250248553,440.7068863796,77.2066624077,0.8847413333,6.100523686,2.771494457,131.3381269463,9.5724335169,47.8431048492,-1.0
1.0195329861,702.5617749419,34.9957556536,2.9567270317,499.1396422767,66.2212988108,1.6898497806,8.2690780537,5.2079109634,133.8439106614,10.781885488,45.8986357637,1.0
0.924780749,720.4896212,29.1251494439,2.2938207828,479.3107006789,51.4318468576,0.827427743,4.0432253778,4.9950630902,134.9324597969,9.240280113,45.8569182383,-1.0
1.0778347512,725.318861384,37.7936443488,1.4783561976,454.2110730514,50.6385115829,1.9054268782,9.4530198281,3.6753364092,134.8702709755,10.7040635547,45.2956726145,1.0
0.9708829969,675.2463102877,28.8605788961,1.4624753089,433.1504523758,76.2830829723,1.8119445282,4.1397566445,3.2402169042,133.8646863978,10.4674172084,46.5583162341,1.0
1.0278008656,692.3951471148,38.4363053507,2.8177836658,455.6623090229,68.9728884088,1.6859939529,4.4801992032,3.5213007567,134.5201110731,10.2833223486,46.6961485382,1.0
1.0557933986,688.6288771432,26.0143144546,1.4787796853,439.2908042074,71.1050143369,1.9196518179,4.1090907797,5.1847468052,133.0513851637,10.1072621816,46.2132695641,1.0
0.9024844053,738.2455322949,38.8910103768,2.1674190729,434.4888943201,42.0879944494,0.7073902629,8.9329223601,3.3028785274,134.6917921101,11.0348565157,45.3450163506,1.0
0.992892993,747.1306619144,26.0809959664,2.7108230869,423.4942850469,23.9038952321,1.2272134151,3.0874908555,4.2401279558,136.8316523704,10.2465372807,45.466459741,1.0
1.0521541808,692.201991534,43.8634765419,2.7679970107,498.0166296697,34.5692983156,1.8680469495,6.0133581033,2.331757643,133.231387875,11.3236154806,46.3680005969,1.0
1.0310621713,747.4407090143,32.6522165797,2.6408194341,494.7392527097,67.5012700169,1.8113075964,8.7108395278,4.6729136321,137.7736803254,10.1422598636,45.0615439228,-1.0
0.9625109449,698.1439905292,31.3350917836,1.2547695883,436.7569132869,54.5081399442,0.5369798526,3.5819581411,2.9722906225,134.3154979808,11.078996726,45.5631582392,1.0
0.9647715261,652.0843891785,43.9369674619,2.958716223,411.7880029525,69.7761579935,1.3313919091,9.375734122,3.9211784092,132.453714377,11.4593051022,48.185248291,-1.0
0.9810849828,693.4794444844,21.2329412865,2.2104345811,408.957244987,31.3691275083,1.2980802604,8.1016508978,5.2682106279,134.2983066119,10.7531449455,45.717072734,1.0
1.0513591907,711.5552478996,32.5038579654,1.5036534765,443.7660252885,37.4665272827,1.9795525895,5.1095780889,4.9451155797,134.10892024,11.1930051224,45.8945210155,1.0
1.0456182182,702.1352310013,37.0279851468,2.5353913296,423.5497845478,73.6406804087,1.3011215494,6.7367409218,5.0126074169,133.5873651351,11.1908825651,45.5092961576,1.0
1.090817934,696.1996859864,35.7524018429,1.0847551455,400.1182626797,45.9578961489,1.8423086103,3.6845247017,4.2234911152,133.4385703946,9.7571410168,46.075772819,-1.0
1.0176862838,725.1184599702,40.5685311663,2.873558519,458.0791224323,45.8294381203,0.8812341991,7.6398645347,3.1010058646,136.632347915,10.8170689461,45.2861202567,1.0
0.9292591153,704.025224083,34.7672743326,1.3429613961,492.0283936865,32.797854965,1.4416574652,9.6313266034,2.9818036586,135.4806518891,10.2534288484,46.957158954,1.0
1.0414986808,707.1917286357,27.8986525919,2.8196429129,485.0381632015,46.1677994595,0.8035711386,3.0129940092,5.0519537459,136.0231372571,9.7192445655,46.164977424,-1.0
1.0581173423,718.778633235,40.9240462041,2.8248937959,485.6763390012,54.6990934259,1.4021342137,6.9546762041,3.2577588047,135.1621701478,10.245254292,45.2204120815,1.0
1.0378812001,715.7392552831,55.3238859379,1.2491570408,460.3428908341,64.2877065322,0.8450354502,5.3803036399,2.4637287425,132.8765469474,11.2770373617,45.3784423979,1.0
0.9653029912,653.3481222171,23.6585394182,2.9322193952,408.316798741,20.9145092091,1.6159977117,3.4906352367,2.922802438,131.7548320289,9.8178554465,47.6460246613,-1.0
0.9464053666,657.3702123398,50.0570266075,1.6288085706,454.1671411545,34.8135816305,1.7864489309,7.7340774286,3.3488128865,130.1900620245,10.5493194239,47.4159068288,-1.0
0.9353942546,719.0317994867,48.8598995195,2.8235375753,408.5611891075,41.3939753754,1.9226428467,4.237245947,2.1489676225,134.0809593136,10.4032618512,46.2096929982,1.0
1.0585918894,713.8520214255,32.8984822959,1.9690575157,457.9110472895,23.9373709706,1.5511855328,6.3185212403,4.1529954963,136.1478634739,10.0493473962,45.0745310747,1.0
0.9543919151,704.9727464081,48.3369799033,1.7218799412,440.4212779549,64.9789544449,0.57521744,4.9382512184,5.790242638,134.3558905879,10.8013241955,46.1657735549,1.0
0.966189016,733.7048529773,52.7836288484,1.1708810892,489.1910876102,54.5970283033,1.4598184269,4.612564685,5.3066519995,136.3995877914,11.3803407513,44.1587981286,-1.0
0.933742587,690.474299378,49.1699668328,2.4116413429,452.2816199927,36.6889312685,1.5129306936,3.7929476717,3.1306413225,134.4561830338,10.9427600351,45.6675420228,1.0
0.902239277,719.4297698464,23.2599008535,2.0877315312,450.0231010866,46.5676812968,1.7291096435,3.259387604,2.1283299661,134.8406507038,9.6290918664,46.5288498535,-1.0
1.0499311499,686.0133774925,25.0755572034,2.6514125328,484.2342673438,27.6804218701,1.9286761661,3.2026811242,5.8328642996,135.1540076534,10.4084176755,45.8867712662,1.0
0.9575265636,709.0339506424,53.3221016143,2.1712027384,481.9989267297,48.7149789082,1.1466361155,5.7404207121,2.039403893,134.1502756567,10.7946180849,44.551603808,-1.0
0.9360558519,734.3083751119,39.3432969708,1.1982676766,481.8823518655,59.4609753413,1.4845185815,8.2910649281,4.2737034437,135.6304056856,11.5454884613,45.4412648894,-1.0
0.9811402322,706.3149255174,48.690459901,2.8264164094,419.5333630449,78.3677288707,1.1181089315,8.244815817,2.7183309875,133.4687294555,10.5497242355,45.2454847067,1.0
1.0931618143,650.1435921274,49.4793808459,1.8760311268,485.7278171391,39.1314088901,1.2049158801,8.4629968733,2.1559728749,131.7778110101,11.2499660708,47.5533939042,-1.0
0.9552133648,652.819402057,43.9176044041,2.4067834285,433.053626363,52.7013250165,1.7575378857,7.8102185579,2.2483907413,132.1043888305,12.2280576276,47.5729310096,-1.0
0.9815395508,698.0388161038,26.1725232376,1.7170144367,452.6489231995,46.9869239339,0.6156461151,8.4393578827,5.514508345,134.5053699224,11.2761242623,45.4256694065,1.0
1.0841323947,721.168381598,50.0007256741,1.5608014554,471.477786874,51.7954409812,0.7550684319,5.910438812,5.1616235579,133.8544735207,11.4888368941,45.080775417,1.0
0.9297761701,690.2714849052,40.3944080903,1.4536215788,431.0962129704,26.9272893717,0.8515884372,8.2509858962,2.7017275869,133.4841390015,10.8969236285,45.9046830492,1.0
1.092347818,659.7085531897,46.2671145949,2.2470212993,403.1143608895,22.3346660988,1.0672981413,3.709101994,4.2348164214,131.1716480967,10.9236354921,46.9821381298,1.0
0.9270345019,745.2004164999,32.76446079,1.9505296637,477.3549819103,65.0536948036,1.6132177105,6.3283877832,2.2875838684,134.3086105756,11.0217763203,45.2191934776,1.0
1.0193756107,747.2379117961,52.2432524262,1.9799148392,457.7775244956,24.4322722553,1.6605364741,8.9179107689,4.6844775205,134.9251288786,11.317842364,44.5544831947,-1.0
0.9294060876,681.9846222457,30.9652208347,1.689081195,481.692827037,33.18544662,1.3881433453,8.5111891733,5.2173092249,134.260675517,10.3185167177,46.2566283497,1.0
1.0874389276,674.8979829146,59.8580654127,1.5411287288,401.9912900905,54.0981945287,1.5239259512,3.3974409956,5.7476450548,131.8164861058,10.8949731813,46.8843754667,1.0
0.993251816,690.3257851964,49.8436529249,1.502710811,434.3547144279,70.2442794955,1.0979691118,8.604774435,5.1511822628,133.5338004647,10.6436282078,46.8978116102,1.0
1.0509408117,710.6737651401,44.2593267726,1.5355893881,448.1151571247,61.0471438505,1.9749642059,7.5715148716,4.4800702966,134.097416964,10.3397841254,45.9995437296,1.0
1.0293105769,651.7392852521,20.0853484027,2.8875578495,408.658101572,43.8054734575,0.5572746327,7.7560709301,4.6716882736,131.1832141681,10.642070607,46.1250022422,1.0
0.9317234329,718.2763242516,30.0260761172,2.2604279553,404.8777404171,20.9820908009,1.2940861955,9.7598897871,5.120614121,135.953877014,10.497621722,45.75087385,1.0
1.034634816,690.2701059273,22.7368948055,1.4661413733,484.0837112471,79.4752579932,0.9272289171,3.5248583647,2.9218324323,135.3586782532,10.803266433,46.3358564158,1.0
0.9012418957,707.7731446831,38.5298527321,2.3529171518,428.7217284486,29.8144939827,0.556057641,6.4103002963,2.8026754853,134.5023115454,11.8623071634,45.6819508379,-1.0
1.0359424402,662.568954968,46.8482282654,1.4164749197,471.2942096094,75.2092129362,0.7727884632,5.422690881,2.941136081,134.5474415855,11.1561080137,46.8147560143,1.0
0.9440781843,705.2732064123,41.8268789282,1.2464865175,422.4630761291,59.1074786205,0.9930717004,5.3269913496,5.4450802144,135.8372297744,11.1999061338,45.533414983,1.0
1.056560754,695.0075864602,40.2161722185,2.7979702434,479.0668013783,42.6135196049,1.3472685673,4.7174268643,5.058133299,132.0026792234,10.4618764612,45.4455876474,1.0
0.9439767175,657.7282370397,44.5892505594,2.6898305761,427.2057763241,43.5535010595,1.3221584011,3.2818795511,2.247594372,132.9307302822,11.2309296482,46.9396214501,1.0
1.0230373882,702.6213276363,34.0857695228,2.318459124,489.7971049091,79.826676258,0.7583643107,6.325408344,5.6392849143,134.1974593708,10.4156207498,46.2745368917,1.0
1.0848424922,694.3079824502,34.8069772802,2.2275720518,485.4564712199,54.1441136844,1.8675834816,9.2291648382,2.6704693168,134.327417302,10.3775078614,45.7534332188,1.0
1.0499462913,725.3534912632,21.0097007123,2.7853246571,418.4379488927,41.2493965707,1.4098623286,8.1383446135,4.638484931,134.8978315957,9.9630809398,45.9831972589,-1.0
0.9607352562,710.0821149199,31.2881060668,2.5029816953,497.5772041416,67.2935863778,1.0145224627,4.7112567518,5.5923800282,134.5278673781,11.099865586,46.2257598796,1.0
0.914460724,667.003011411,21.1059291438,2.1194536639,444.0261159144,47.2340022778,1.4067095364,4.8525312158,5.3414220116,131.6599588549,10.2514412514,47.1735849455,-1.0
0.9444142216,669.2230504508,31.3454501082,1.6783768864,403.3611309945,75.3319764848,1.0466076812,7.2920890101,5.9135208449,133.492291949,10.5069851829,47.0543213294,-1.0
1.0175706668,688.5329087065,40.0728443597,2.5346177326,421.8075049634,24.4149621852,0.7512875738,8.9543242228,2.84884168,133.8127516412,10.5006928318,46.517213464,1.0
0.9534977957,676.0180200037,33.4078219366,2.704358963,497.5086175388,46.3728161377,0.6756377562,4.2280959687,5.252846212,132.3851212062,10.8317335583,46.5946189471,1.0
0.970298379,686.0876552391,20.5640082032,1.1716744489,491.3748959279,40.8549829618,0.9058931913,5.2782716385,5.0957614256,134.6237383859,10.4614553757,46.2131794741,1.0
0.9410261959,663.5366273435,29.2247819193,1.6891873616,414.7247066355,46.2145680865,1.6931933298,4.5918911089,3.2715294078,131.2793001131,10.3049266435,46.055611338,1.0
1.0417219568,714.3279630515,32.6903238724,1.9327884191,496.9282352748,60.5992792721,0.68721426,9.921407759,3.1602671244,133.8567929012,11.0755791111,46.1037708866,1.0
1.0279342995,719.7743291163,44.8123137372,2.1489978028,486.3359009866,76.8036948963,1.8904619486,9.9418474745,5.7229253077,135.8162616097,9.7943927058,46.0942458356,-1.0
0.9425179069,718.1822980739,20.5302882714,2.9167142078,476.4199324583,47.2781043425,1.2610662222,8.224945616,4.2144807445,136.7458321441,10.32123095,45.6695618995,1.0
1.0867426954,718.2295700072,49.7341102017,1.9803675903,486.8392762672,67.9885877451,1.3133496784,3.1925326335,3.9800567392,135.8440974773,11.6709443677,45.6381585732,-1.0
0.9222210851,691.2805765392,20.6375719114,2.1220380077,442.3033229512,31.7734717911,1.6099990126,7.9223290772,2.8206598697,134.0787173315,9.1879724861,46.6129902499,-1.0
